,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
935,6.0,625.2,43.81,43.81,3751.2,262.85,581.39,3488.35
936,3.0,625.2,48.94,48.94,1875.6,146.81,576.26,1728.79
937,1.0,155.0,78.65,78.65,155.0,78.65,76.35,76.35
938,3.0,983.0,227.62,227.62,2949.0,682.85,755.38,2266.15
939,1.0,535.0,0.0,66.88,535.0,66.88,468.12,468.12
940,1.0,125.0,48.2,48.2,125.0,48.2,76.8,76.8
941,1.0,155.0,62.95,62.95,155.0,62.95,92.05,92.05
942,1.0,1048.97,191.8,6587.67,1048.97,6587.67,-5538.7,-5538.7
943,2.0,1056.35,348.7,348.7,2112.7,697.4,707.65,1415.3
944,2.0,985.0,242.78,242.78,1970.0,485.55,742.22,1484.45
945,1.0,661.2,0.0,31.14,661.2,31.14,630.06,630.06
946,20.0,935.0,185.95,185.95,18700.0,3719.07,749.05,14980.93
947,6.0,2177.5,457.71,457.71,13065.0,2746.25,1719.79,10318.75
948,3.0,1991.0,0.0,182.87,5973.0,548.62,1808.13,5424.38
949,10.0,123.0,4.8,4.8,1230.0,48.02,118.2,1181.99
950,3.0,705.5,135.18,135.18,2116.5,405.53,570.32,1710.97
951,3.0,705.5,136.6,136.6,2116.5,409.8,568.9,1706.7
952,7.0,606.0,210.24,210.24,4242.0,1471.68,395.76,2770.32
953,1.0,813.0,260.2,260.2,813.0,260.2,552.8,552.8
954,8.0,764.8,216.17,216.17,6118.4,1729.33,548.63,4389.07
955,1.0,265.08,97.49,97.49,265.08,97.49,167.59,167.59
956,1.0,597.0,173.0,173.0,597.0,173.0,424.0,424.0
957,5.0,1551.2,0.0,333.77,7756.0,1668.85,1217.43,6087.15
958,1.0,1584.6,0.0,369.86,1584.6,369.86,1214.74,1214.74
959,2.0,674.82,0.0,88.53,1349.64,177.06,586.29,1172.58
960,2.0,1188.0,2613.6,2613.6,3911.1,5227.2,15869.18,3089.3
961,3.0,720.0,0.0,129.95,2160.0,389.85,590.05,1770.15
962,1.0,1188.0,0.0,0.0,9700.0,0.0,9700.0,9700.0
963,1.0,653.0,223.04,223.04,653.0,223.04,429.96,429.96
964,2.0,1100.0,0.0,43.93,2200.0,87.87,1056.07,2112.13
965,2.0,2186.0,0.0,1062.78,4372.0,2125.57,1123.22,2246.43
966,10.0,351.64,0.0,144.47,3516.4,1444.71,207.17,2071.69
967,2.0,1974.31,0.0,360.69,3948.62,721.38,1613.62,3227.24
968,1.0,2874.31,0.0,886.73,2874.31,886.73,1987.58,1987.58
969,2.0,2215.0,0.0,610.78,4430.0,1221.56,1604.22,3208.44
970,2.0,462.0,253.0,253.0,924.0,506.0,209.0,418.0
971,4.0,2218.27,0.0,1204.71,8873.08,4818.85,1013.56,4054.23
972,2.0,612.6,0.0,71.02,1225.2,142.04,541.58,1083.16
973,5.0,3200.0,0.0,1048.9,16000.0,5244.49,2151.1,10755.51
974,12.0,781.0,0.0,126.46,9372.0,1517.55,654.54,7854.45
975,15.0,1180.0,0.0,191.22,17700.0,2868.3,988.78,14831.7
976,20.0,1475.3,314.44,314.44,29506.0,6288.76,1160.86,23217.24
977,20.0,1144.58,363.31,363.31,22891.6,7266.24,781.27,15625.36
978,20.0,330.8,92.32,92.32,6616.0,1846.35,238.48,4769.65
979,4.0,2621.15,741.05,741.05,10484.6,2964.18,1880.1,7520.42
980,2.0,519.14,0.0,119.95,1038.28,239.89,399.19,798.39
981,1.0,1443.3,470.05,470.05,1443.3,470.05,973.25,973.25
982,1.0,1033.0,0.0,217.51,1033.0,217.51,815.49,815.49
983,1.0,295.0,39.22,39.22,295.0,39.22,255.78,255.78
984,10.0,386.0,84.41,84.41,3860.0,844.11,301.59,3015.89
985,1.0,813.1,260.2,260.2,813.1,260.2,552.9,552.9
986,1.0,3450.74,1216.54,1216.54,3450.74,1216.54,2234.2,2234.2
987,1.0,225.0,78.65,78.65,225.0,78.65,146.35,146.35
988,1.0,2256.35,0.0,927.84,2256.35,927.84,1328.51,1328.51
989,3.0,732.0,260.2,260.2,2196.0,780.6,471.8,1415.4
990,12.0,745.0,0.0,240.58,8940.0,2887.02,504.42,6052.99
991,10.0,864.2,0.0,226.8,8642.0,2268.0,637.4,6374.0
992,2.0,999.91,226.23,226.23,1999.81,452.46,773.68,1547.35
993,1.0,1800.0,693.77,693.77,1800.0,693.77,1106.23,1106.23
994,1.0,2068.5,1261.99,1261.99,2068.5,1261.99,806.51,806.51
995,1.0,3213.0,0.0,1165.13,3213.0,1165.13,2047.87,2047.87
996,4.0,2464.2,0.0,1067.99,9856.8,4271.95,1396.21,5584.85
997,20.0,810.0,313.65,313.65,16200.0,6273.1,496.35,9926.9
998,1.0,1075.31,0.0,521.55,1075.31,521.55,553.76,553.76
999,8.0,753.5,0.0,127.11,6028.0,1016.9,626.39,5011.1
1000,1.0,497.89,42.8,42.8,497.89,42.8,455.09,455.09
1001,3.0,2400.0,0.0,679.75,7200.0,2039.25,1720.25,5160.75
1002,2.0,647.0,100.13,100.13,1294.0,200.26,546.87,1093.74
1003,2.0,647.0,894.91,894.91,1294.0,1789.82,-247.91,-495.82
1004,2.0,562.5,0.0,102.31,1125.0,204.63,460.19,920.37
1005,2.0,813.1,260.2,260.2,1626.21,520.4,552.9,1105.81
1006,9.0,764.39,137.83,137.83,6879.51,1240.49,626.56,5639.02
1007,1.0,941.77,203.69,203.69,941.77,203.69,738.08,738.08
1008,1.0,669.35,126.54,126.54,669.35,126.54,542.81,542.81
1009,2.0,863.0,68.35,68.35,1726.0,136.7,794.65,1589.3
1010,1.0,1045.31,388.11,388.11,1045.31,388.11,657.2,657.2
1011,2.0,901.5,68.35,68.35,1803.0,136.7,833.15,1666.3
1012,3.0,1064.0,330.66,330.66,3192.0,991.99,733.34,2200.01
1013,20.0,1475.3,331.61,331.61,29506.0,6632.15,1143.69,22873.85
1014,1.0,3730.0,1388.82,1388.82,3730.0,1388.82,2341.18,2341.18
1015,1.0,485.0,144.4,144.4,485.0,144.4,340.6,340.6
1016,2.0,2278.45,0.0,436.59,4556.9,873.18,1841.86,3683.72
1017,1.0,817.89,0.0,176.15,817.89,176.15,641.74,641.74
1018,1.0,385.0,253.0,253.0,385.0,253.0,132.0,132.0
1019,10.0,386.0,77.13,77.13,3860.0,771.29,308.87,3088.71
1020,3.0,1784.35,0.0,112.39,5353.05,337.18,1671.96,5015.87
1021,4.0,657.58,107.5,107.5,2630.32,429.99,550.08,2200.34
1022,4.0,779.5,158.36,158.36,3118.0,633.45,621.14,2484.55
1023,2.0,435.72,265.64,265.64,871.44,531.27,170.08,340.17
1024,2.0,350.41,125.68,125.68,700.82,251.36,224.73,449.46
1025,1.0,327.59,57.6,57.6,327.59,57.6,269.99,269.99
1026,10.0,1250.0,0.0,170.16,12500.0,1701.62,1079.84,10798.38
1027,1.0,462.0,253.0,253.0,462.0,253.0,209.0,209.0
1028,1.0,596.0,0.0,28.41,596.0,28.41,567.59,567.59
1029,10.0,699.5,286.59,286.59,6995.0,2865.87,412.91,4129.13
1030,3.0,799.1,168.4,168.4,2397.3,505.21,630.7,1892.09
1031,14.0,150.0,78.65,78.65,2100.0,1101.12,71.35,998.88
1032,6.0,500.0,265.64,265.64,3000.0,1593.82,234.36,1406.18
1033,1.0,960.34,91.4,91.4,960.34,91.4,868.94,868.94
1034,1.0,772.0,0.0,13.33,772.0,13.33,758.67,758.67
1035,1.0,4972.3,0.0,1139.58,4972.3,1139.58,3832.72,3832.72
1036,1.0,1385.0,0.0,281.46,1385.0,281.46,1103.54,1103.54
1037,1.0,1848.9,406.12,406.12,1848.9,406.12,1442.78,1442.78
1038,2.0,1209.8,0.0,341.41,2419.6,682.82,868.39,1736.78
1039,2.0,345.0,0.0,348.92,690.0,697.83,-3.92,-7.83
1040,2.0,528.89,0.0,68.25,1057.78,136.5,460.64,921.28
1041,1.0,999.91,226.23,226.23,999.91,226.23,773.68,773.68
1042,1.0,999.91,226.23,226.23,999.91,226.23,773.68,773.68
1043,2.0,2186.0,955.68,955.68,4372.0,1911.36,1230.32,2460.64
1044,1.0,264.0,97.49,97.49,264.0,97.49,166.51,166.51
1045,1.0,2660.9,0.0,896.15,2660.9,896.15,1764.75,1764.75
1046,1.0,1188.0,0.0,9353.62,22417.6,9353.62,13063.98,13063.98
1047,1.0,155.0,78.65,78.65,155.0,78.65,76.35,76.35
1048,1.0,899.0,0.0,197.53,899.0,197.53,701.47,701.47
1049,1.0,556.7,0.0,72.88,556.7,72.88,483.82,483.82
1050,1.0,1103.45,0.0,400.95,1103.45,400.95,702.5,702.5
1051,1.0,930.0,0.0,159.65,930.0,159.65,770.35,770.35
1052,3.0,845.29,0.0,369.66,2535.87,1108.97,475.63,1426.9
1053,2.0,2465.0,0.0,585.2,4930.0,1170.39,1879.8,3759.61
1054,3.0,705.5,130.97,130.97,2116.5,392.91,574.53,1723.59
1055,6.0,705.5,0.0,143.89,4233.0,863.31,561.61,3369.69
1056,6.0,918.0,0.0,502.32,5508.0,3013.94,415.68,2494.06
1057,1.0,915.0,0.0,239.08,915.0,239.08,675.92,675.92
1058,3.0,715.65,0.0,103.21,2146.95,309.63,612.44,1837.32
1059,4.0,515.0,0.0,182.6,2060.0,730.4,332.4,1329.6
1060,2.0,2375.5,438.39,438.39,4751.0,876.79,1937.11,3874.21
1061,1.0,2080.85,523.53,523.53,2080.85,523.53,1557.32,1557.32
1062,1.0,1899.18,164.55,164.55,1899.18,164.55,1734.63,1734.63
1063,1.0,3298.28,191.8,378.8,3298.28,1210.5,974.4,3089.3
1064,1.0,150.0,78.65,78.65,150.0,78.65,71.35,71.35
1065,1.0,442.75,253.0,253.0,442.75,253.0,189.75,189.75
1066,1.0,462.0,220.0,220.0,462.0,220.0,242.0,242.0
1067,1.0,1165.95,345.97,345.97,1165.95,345.97,819.98,819.98
1068,1.0,1165.95,0.0,345.97,1165.95,345.97,819.98,819.98
1069,4.0,763.0,0.0,71.72,3052.0,286.9,691.28,2765.1
1070,4.0,845.0,0.0,167.31,3380.0,669.24,677.69,2710.76
1071,1.0,1615.0,685.68,685.68,1615.0,685.68,929.32,929.32
1072,1.0,1615.0,685.68,685.68,1615.0,685.68,929.32,929.32
1073,1.0,1615.0,685.68,685.68,1615.0,685.68,929.32,929.32
1074,1.0,1615.0,685.68,685.68,1615.0,685.68,929.32,929.32
1075,2.0,485.0,144.4,144.4,970.0,288.8,340.6,681.2
1076,18.0,7780.0,816.73,1743.86,3911.1,16025.97,6036.14,3089.3
1077,18.0,7780.0,930.34,2064.16,3911.1,1210.5,5715.84,3089.3
1078,4.0,125.0,48.2,48.2,500.0,192.79,76.8,307.21
1079,8.0,132.06,0.0,21.33,1056.48,170.62,110.73,885.86
1080,2.0,1853.25,1116.84,1116.84,3706.5,2233.68,736.41,1472.83
1081,2.0,852.53,0.0,55.13,1705.06,110.26,797.4,1594.8
1082,2.0,1790.5,155.35,155.35,3581.0,310.7,1635.15,3270.3
1083,2.0,1900.0,253.99,253.99,3800.0,507.97,1646.01,3292.03
1084,1.0,1280.14,0.0,477.16,1280.14,477.16,802.98,802.98
1085,10.0,978.6,0.0,518.59,9786.0,5185.87,460.01,4600.13
1086,5.0,732.0,0.0,136.25,3660.0,681.25,595.75,2978.75
1087,3.0,1800.0,0.0,312.11,5400.0,936.33,1487.89,4463.67
1088,3.0,1086.23,0.0,274.93,3258.69,824.78,811.3,2433.91
1089,3.0,699.38,0.0,207.16,2098.14,621.48,492.22,1476.66
1090,10.0,3220.0,667.91,667.91,3911.1,6679.11,2552.09,25520.89
1091,4.0,5790.0,0.0,1798.56,23160.0,7194.25,3991.44,15965.75
1092,4.0,315.0,57.6,57.6,1260.0,230.4,257.4,1029.6
1093,3.5,1475.3,288.77,288.77,3911.1,8663.07,1186.53,3089.3
1094,4.0,582.13,0.0,131.24,2328.52,524.96,450.89,1803.56
1095,2.0,773.06,0.0,126.1,1546.12,252.21,646.96,1293.91
1096,10.0,6.54,6.0,6.0,65.35,60.0,0.54,5.35
1097,7.0,299.8,50.94,50.94,2098.6,356.56,248.86,1742.04
1098,3.5,1102.75,0.0,751.86,3911.1,1210.5,350.89,10526.78
1099,3.0,155.0,62.95,62.95,465.0,188.86,92.05,276.14
1100,2.0,1330.35,0.0,326.25,2660.7,652.49,1004.1,2008.21
1101,2.0,1188.0,0.0,6073.5,3911.1,12146.99,11319.56,22639.13
1102,10.0,825.0,332.9,332.9,8250.0,3329.01,492.1,4920.99
1103,1.0,1283.8,0.0,131.36,1283.8,131.36,1152.44,1152.44
1104,4.0,1188.0,0.0,1721.28,3911.1,6885.12,974.4,3089.3
1105,2.0,581.46,0.0,144.87,1162.92,289.73,436.59,873.19
1106,2.0,555.06,0.0,96.17,1110.12,192.34,458.89,917.78
1107,8.0,3545.43,800.35,800.35,28363.44,6402.83,2745.08,21960.61
1108,1.0,1370.74,0.0,328.39,1370.74,328.39,1042.35,1042.35
1109,1.0,1018.0,0.0,273.77,1018.0,273.77,744.23,744.23
1110,2.0,817.79,0.0,133.04,1635.58,266.08,684.75,1369.5
1111,4.0,530.64,0.0,325.23,2122.56,1300.94,205.41,821.62
1112,1.0,732.0,222.0,222.0,732.0,222.0,510.0,510.0
1113,1.0,210.0,90.91,90.91,210.0,90.91,119.09,119.09
1114,1.0,305.5,113.59,113.59,305.5,113.59,191.91,191.91
1115,4.0,485.0,144.4,144.4,1940.0,577.6,340.6,1362.4
1116,1.0,965.4,0.0,413.55,965.4,413.55,551.85,551.85
1117,5.0,606.0,236.6,236.6,3030.0,1182.99,369.4,1847.01
1118,10.0,398.0,0.0,113.64,3980.0,1136.37,284.36,2843.63
1119,1.0,1157.93,0.0,187.54,1157.93,187.54,970.39,970.39
1120,1.0,4500.0,0.0,1088.23,4500.0,1088.23,3411.77,3411.77
1121,2.0,699.52,0.0,66.79,1399.04,133.59,632.73,1265.45
1122,1.0,462.0,220.0,220.0,462.0,220.0,242.0,242.0
1123,3.0,299.8,0.0,59.54,899.4,178.63,240.26,720.77
1124,2.0,155.0,62.95,62.95,310.0,125.91,92.05,184.09
1125,1.0,2533.27,0.0,0.0,2533.27,0.0,2533.27,2533.27
1126,4.0,2359.7,338.22,338.22,9438.8,1352.89,2021.48,8085.91
1127,1.0,772.6,0.0,49.16,772.6,49.16,723.44,723.44
1128,4.0,462.07,220.0,220.0,1848.28,880.0,242.07,968.28
1129,3.0,1194.66,0.0,0.0,3583.98,0.0,1194.66,3583.98
1130,2.0,932.0,0.0,207.69,1864.0,415.38,724.31,1448.62
1131,2.0,730.8,0.0,126.52,1461.6,253.04,604.28,1208.56
1132,1.0,1911.0,0.0,329.0,1911.0,329.0,1582.0,1582.0
1133,3.0,1572.45,600.03,600.03,4717.35,1800.09,972.42,2917.26
1134,10.0,485.0,0.0,144.4,4850.0,1444.0,340.6,3406.0
1135,6.0,1127.46,0.0,355.3,6764.76,2131.82,772.16,4632.94
1136,1.0,1800.0,2392.5,2392.5,1800.0,2392.5,-592.5,-592.5
1137,1.0,1130.5,421.11,421.11,1130.5,421.11,709.39,709.39
1138,1.0,675.97,89.76,89.76,675.97,89.76,586.21,586.21
1139,1.0,730.17,72.34,72.34,730.17,72.34,657.83,657.83
1140,10.0,1677.0,0.0,521.39,16770.0,5213.9,1155.61,11556.1
1141,5.0,2445.0,0.0,1627.09,12225.0,8135.45,817.91,4089.55
1142,4.0,698.0,0.0,0.0,2792.0,0.0,698.0,2792.0
1143,20.0,1475.3,0.0,315.51,29506.0,6310.2,1159.79,23195.8
1144,3.0,3053.25,640.51,640.51,9159.75,1921.52,2412.74,7238.23
1145,1.0,899.0,0.0,197.53,899.0,197.53,701.47,701.47
1146,6.0,619.5,0.0,76.71,3717.0,460.25,542.79,3256.75
1147,1.0,699.5,0.0,70.7,699.5,70.7,628.8,628.8
1148,1.0,650.0,316.45,316.45,650.0,316.45,333.55,333.55
1149,6.0,413.4,0.0,93.3,2480.4,559.81,320.1,1920.59
1150,10.0,415.0,0.0,100.7,4150.0,1007.01,314.3,3142.99
1151,10.0,407.0,124.77,124.77,4070.0,1247.67,282.23,2822.33
1152,10.0,541.25,0.0,132.16,5412.5,1321.62,409.09,4090.88
1153,7.0,708.0,0.0,138.9,4956.0,972.31,569.1,3983.69
1154,10.0,488.0,0.0,119.27,4880.0,1192.74,368.73,3687.26
1155,10.0,1615.25,0.0,52.12,16152.5,521.21,1563.13,15631.29
1156,3.0,2056.2,586.32,586.32,6168.6,1758.97,1469.88,4409.63
1157,1.0,662.57,0.0,47.84,662.57,47.84,614.73,614.73
1158,1.0,815.07,0.0,99.37,815.07,99.37,715.7,715.7
1159,1.0,876.98,0.0,142.2,876.98,142.2,734.78,734.78
1160,1.0,588.0,0.0,39.85,588.0,39.85,548.15,548.15
1161,10.0,792.11,131.45,131.45,7921.1,1314.54,660.66,6606.56
1162,10.0,798.79,137.63,137.63,7987.9,1376.26,661.16,6611.64
1163,1.0,984.15,203.69,203.69,984.15,203.69,780.46,780.46
1164,1.0,699.47,126.29,126.29,699.47,126.29,573.18,573.18
1165,3.0,705.5,127.62,127.62,2116.5,382.87,577.88,1733.63
1166,6.0,2895.47,1119.39,1119.39,17372.82,6716.37,1776.08,10656.45
1167,1.0,670.69,331.33,331.33,670.69,331.33,339.36,339.36
1168,1.0,1466.21,379.55,379.55,1466.21,379.55,1086.66,1086.66
1169,6.0,1026.8,82.34,82.34,6160.8,494.02,944.46,5666.78
1170,6.0,1165.0,245.96,245.96,6990.0,1475.75,919.04,5514.25
1171,1.0,485.0,67.84,67.84,485.0,67.84,417.16,417.16
1172,2.0,5765.49,2496.65,2496.65,11530.98,4993.3,3268.84,6537.68
1173,11.0,3890.0,982.4,982.4,3911.1,10806.45,2907.6,3089.3
1174,5.0,720.0,130.12,130.12,3600.0,650.58,589.88,2949.42
1175,6.0,195.0,78.68,78.68,1170.0,472.05,116.32,697.95
1176,1.0,1018.0,414.84,414.84,1018.0,414.84,603.16,603.16
1177,2.0,1018.0,414.84,414.84,2036.0,829.67,603.16,1206.33
1178,1.0,906.05,117.24,117.24,906.05,117.24,788.81,788.81
1179,1.0,609.84,173.0,173.0,609.84,173.0,436.84,436.84
1180,1.0,813.1,222.0,222.0,813.1,222.0,591.1,591.1
1181,1.0,353.45,57.6,57.6,353.45,57.6,295.85,295.85
1182,2.0,925.0,218.33,218.33,1850.0,436.67,706.67,1413.34
1183,1.0,805.5,57.07,57.07,805.5,57.07,748.43,748.43
1184,8.0,553.0,0.0,96.96,4424.0,775.7,456.04,3648.3
1185,5.0,840.0,0.0,160.02,4200.0,800.11,679.98,3399.89
1186,2.0,4769.0,1931.62,1931.62,9538.0,3863.23,2837.38,5674.77
1187,3.0,565.4,90.42,90.42,1696.2,271.25,474.98,1424.95
1188,12.0,1219.74,251.37,251.37,14636.88,3016.4,968.37,11620.48
1189,6.0,1022.67,213.77,213.77,6136.02,1282.59,808.9,4853.43
1190,10.0,1386.16,291.33,291.33,13861.6,2913.27,1094.83,10948.33
1191,1.0,790.0,89.76,89.76,790.0,89.76,700.24,700.24
1192,1.0,790.0,72.34,72.34,790.0,72.34,717.66,717.66
1193,1.0,852.0,150.44,150.44,852.0,150.44,701.56,701.56
1194,1.0,755.0,53.71,53.71,755.0,53.71,701.29,701.29
1195,1.0,852.0,108.81,108.81,852.0,108.81,743.19,743.19
1196,3.0,2400.0,472.22,472.22,7200.0,1416.65,1927.78,5783.35
1197,1.0,620.2,170.55,170.55,620.2,170.55,449.65,449.65
1198,2.0,1642.35,0.0,463.36,3284.7,926.71,1178.99,2357.99
1199,1.0,8121.2,0.0,3280.08,8121.2,3280.08,4841.12,4841.12
1200,1.0,742.45,166.83,166.83,742.45,166.83,575.62,575.62
1201,1.0,1208.25,93.2,93.2,1208.25,93.2,1115.05,1115.05
1202,1.0,1208.25,93.2,93.2,1208.25,93.2,1115.05,1115.05
1203,8.0,2529.4,663.12,663.12,20235.2,5304.97,1866.28,14930.23
1204,4.0,608.36,0.0,44.13,2433.44,176.5,564.24,2256.94
1205,4.0,636.38,0.0,42.57,2545.52,170.28,593.81,2375.24
1206,2.0,1070.6,0.0,175.33,2141.2,350.67,895.27,1790.53
1207,4.0,462.0,300.0,300.0,1848.0,1200.0,162.0,648.0
1208,2.0,125.0,48.2,48.2,250.0,96.4,76.8,153.61
1209,2.0,545.0,0.0,38.42,1090.0,76.84,506.58,1013.16
1210,2.0,585.0,53.33,53.33,1170.0,106.65,531.67,1063.35
1211,2.0,488.0,126.71,126.71,976.0,253.43,361.29,722.57
1212,6.0,1098.74,235.35,235.35,6592.44,1412.1,863.39,5180.34
1213,1.0,1177.25,277.2,277.2,1177.25,277.2,900.05,900.05
1214,1.0,601.5,145.23,145.23,601.5,145.23,456.27,456.27
1215,1.0,5901.45,1047.18,1047.18,5901.45,1047.18,4854.27,4854.27
1216,2.0,691.7,265.64,265.64,1383.4,531.27,426.06,852.13
1217,4.0,521.04,205.2,205.2,2084.16,820.82,315.84,1263.34
1218,4.0,350.41,125.68,125.68,1401.64,502.72,224.73,898.92
1219,2.0,378.26,99.22,99.22,756.52,198.45,279.04,558.07
1220,20.0,132.06,0.0,21.33,2641.2,426.55,110.73,2214.65
1221,1.0,155.0,78.68,78.68,155.0,78.68,76.32,76.32
1222,1.0,4769.0,1931.62,1931.62,4769.0,1931.62,2837.38,2837.38
1223,1.0,745.69,78.38,78.38,745.69,78.38,667.31,667.31
1224,1.0,1089.35,332.12,332.12,1089.35,332.12,757.23,757.23
1225,1.0,1089.35,332.12,332.12,1089.35,332.12,757.23,757.23
1226,4.0,1188.0,1721.28,1721.28,3911.1,6885.12,974.4,3089.3
1227,1.0,768.5,63.09,63.09,768.5,63.09,705.41,705.41
1228,2.0,155.0,62.95,62.95,310.0,125.91,92.05,184.09
1229,2.0,623.37,69.55,69.55,1246.74,139.11,553.82,1107.63
1230,1.0,153.25,62.95,62.95,153.25,62.95,90.3,90.3
1231,2.0,691.68,265.64,265.64,1383.36,531.27,426.04,852.09
1232,1.0,429.25,81.99,81.99,429.25,81.99,347.26,347.26
1233,6.0,986.0,0.0,235.75,5916.0,1414.5,750.25,4501.5
1234,4.0,545.0,63.37,63.37,2180.0,253.47,481.63,1926.53
1235,1.0,1075.31,521.55,521.55,1075.31,521.55,553.76,553.76
1236,15.0,175.31,76.08,76.08,2629.65,1141.15,99.23,1488.5
1237,3.0,611.8,211.36,211.36,1835.4,634.09,400.44,1201.31
1238,1.0,9499.6,0.0,544.48,9499.6,544.48,8955.12,8955.12
1239,1.0,155.0,62.95,62.95,155.0,62.95,92.05,92.05
1240,1.0,120.0,48.2,48.2,120.0,48.2,71.8,71.8
1241,6.0,753.5,127.11,127.11,4521.0,762.68,626.39,3758.32
1242,2.0,812.93,0.0,145.02,1625.86,290.03,667.91,1335.83
1243,1.0,1364.0,0.0,0.0,1364.0,0.0,1364.0,1364.0
1244,4.0,155.0,62.95,62.95,620.0,251.81,92.05,368.19
1245,10.0,792.11,131.45,131.45,7921.1,1314.54,660.66,6606.56
1246,7.0,798.79,137.63,137.63,5591.53,963.38,661.16,4628.15
1247,3.5,984.15,0.0,203.69,24603.75,5092.2,780.46,19511.55
1248,1.0,699.47,126.29,126.29,699.47,126.29,573.18,573.18
1249,4.0,669.55,98.82,98.82,2678.2,395.3,570.73,2282.9
1250,4.0,669.55,112.34,112.34,2678.2,449.36,557.21,2228.84
1251,6.0,669.55,99.83,99.83,4017.3,598.95,569.72,3418.35
1252,2.0,2481.59,0.0,0.0,4963.18,0.0,2481.59,4963.18
1253,1.0,1188.0,0.2,0.2,17450.0,0.2,974.4,17449.8
1254,2.0,155.0,51.36,51.36,310.0,102.71,103.64,207.29
1255,2.0,190.0,68.2,68.2,380.0,136.41,121.8,243.59
1256,2.0,2566.15,1164.2,1164.2,5132.3,2328.4,1401.95,2803.9
1257,4.0,2042.41,0.0,663.74,8169.64,2654.96,1378.67,5514.68
1258,1.0,486.0,18.45,18.45,486.0,18.45,467.55,467.55
1259,2.0,1532.05,339.91,339.91,3064.1,679.81,1192.14,2384.29
1260,3.0,4810.0,0.0,442.5,14430.0,1327.51,4367.5,13102.49
1261,11.0,1800.18,676.87,676.87,19801.98,7445.6,1123.31,12356.38
1262,1.0,462.0,278.0,278.0,462.0,278.0,184.0,184.0
1263,1.0,325.0,96.83,96.83,325.0,96.83,228.17,228.17
1264,1.0,635.97,89.76,89.76,635.97,89.76,546.21,546.21
1265,1.0,730.17,72.34,72.34,730.17,72.34,657.83,657.83
1266,1.0,439.66,420.67,420.67,439.66,420.67,18.99,18.99
1267,4.0,2359.7,401.65,401.65,9438.8,1606.58,1958.05,7832.22
1268,2.0,976.0,385.09,385.09,1952.0,770.19,590.91,1181.81
1269,20.0,1475.3,316.19,316.19,29506.0,6323.81,1159.11,23182.19
1270,1.0,900.0,0.0,0.0,900.0,0.0,900.0,900.0
1271,1.0,945.0,518.43,518.43,945.0,518.43,426.57,426.57
1272,12.0,2914.4,469.53,931.02,17486.4,5553.94,1983.38,11932.46
1273,3.0,951.04,208.88,208.88,2853.12,626.65,742.16,2226.47
1274,5.0,120.0,0.0,67.57,600.0,337.86,52.43,262.14
1275,3.0,1086.48,67.56,67.56,3259.44,202.67,1018.92,3056.77
1276,2.0,315.0,57.6,57.6,630.0,115.2,257.4,514.8
1277,2.0,1188.0,0.0,4604.19,25000.0,9208.38,7895.81,15791.62
1278,1.0,1417.1,0.0,408.31,1417.1,408.31,1008.79,1008.79
1279,6.0,720.0,129.7,129.7,4320.0,778.18,590.3,3541.82
1280,2.0,863.14,257.11,257.11,1726.28,514.21,606.03,1212.07
1281,5.0,650.0,325.78,325.78,3250.0,1628.92,324.22,1621.08
1282,5.0,825.0,332.9,332.9,4125.0,1664.51,492.1,2460.49
1283,1.0,610.0,197.83,197.83,610.0,197.83,412.17,412.17
1284,1.0,610.0,178.15,178.15,610.0,178.15,431.85,431.85
1285,1.0,610.0,171.15,171.15,610.0,171.15,438.85,438.85
1286,1.0,120.13,48.2,48.2,120.13,48.2,71.93,71.93
1287,1.0,165.51,48.1,48.1,165.51,48.1,117.41,117.41
1288,1.0,1188.0,0.0,654.34,27808.0,654.34,974.4,27153.66
1289,2.0,519.0,78.24,78.24,1038.0,156.48,440.76,881.52
1290,2.0,993.12,42.65,42.65,1986.24,85.31,950.47,1900.93
1291,6.0,1366.13,394.88,394.88,8196.78,2369.31,971.25,5827.47
1292,6.0,1545.0,0.0,89.98,9270.0,539.86,1455.02,8730.14
1293,3.0,983.0,129.28,129.28,2949.0,387.85,853.72,2561.16
1294,1.0,435.72,153.85,153.85,435.72,153.85,281.87,281.87
1295,10.0,1699.0,0.0,251.47,16990.0,2514.71,1447.53,14475.29
1296,1.0,1188.0,0.0,277.5,14000.0,277.5,13722.5,13722.5
1297,1.0,6591.1,1541.46,1541.46,6591.1,1541.46,5049.64,5049.64
1298,1.0,1289.0,519.45,519.45,1289.0,519.45,769.55,769.55
1299,2.0,862.5,331.49,331.49,1725.0,662.99,531.01,1062.01
1300,1.0,462.0,153.85,153.85,462.0,153.85,308.15,308.15
1301,1.0,1223.38,264.62,264.62,1223.38,264.62,958.76,958.76
1302,3.0,1045.31,199.05,199.05,3135.93,597.15,846.26,2538.78
1303,3.0,1270.84,0.0,330.66,3812.52,991.99,940.18,2820.53
1304,2.0,669.0,97.49,97.49,1338.0,194.99,571.51,1143.01
1305,2.0,125.0,48.2,48.2,250.0,96.4,76.8,153.61
1306,2.0,155.0,63.31,63.31,310.0,126.62,91.69,183.38
1307,1.0,190.0,65.16,65.16,190.0,65.16,124.84,124.84
