,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
714,4.0,539.6,0.0,77.8,2158.4,311.18,461.8,1847.22
715,2.0,1380.0,0.0,246.69,2760.0,493.38,1133.31,2266.62
716,15.0,330.8,92.24,92.24,4962.0,1383.54,238.56,3578.46
717,2.0,345.0,42.65,42.65,690.0,85.29,302.35,604.71
718,2.0,994.64,155.39,155.39,1989.28,310.77,839.25,1678.51
719,2.0,605.4,80.09,80.09,1210.8,160.18,525.31,1050.62
720,1.0,735.65,177.85,177.85,735.65,177.85,557.8,557.8
721,2.0,608.75,331.33,331.33,1217.5,662.65,277.42,554.85
722,3.5,810.0,0.0,117.09,8100.0,1170.9,692.91,6929.1
723,4.0,788.48,0.0,798.08,3153.92,3192.33,-9.6,-38.41
724,1.0,2818.4,0.0,670.74,2818.4,670.74,2147.66,2147.66
725,1.0,812.43,111.07,111.07,812.43,111.07,701.36,701.36
726,6.0,1030.0,236.06,236.06,6180.0,1416.34,793.94,4763.66
727,4.0,457.82,32.24,32.24,1831.28,128.97,425.58,1702.31
728,2.0,1470.0,87.04,87.04,2940.0,174.08,1382.96,2765.92
729,2.0,2186.0,1072.93,1072.93,4372.0,2145.86,1113.07,2226.14
730,10.0,375.0,144.19,144.19,3750.0,1441.92,230.81,2308.08
731,3.0,375.0,0.0,122.35,1125.0,367.04,252.65,757.96
732,10.0,796.25,0.0,236.03,7962.5,2360.31,560.22,5602.19
733,10.0,850.5,0.0,237.87,8505.0,2378.73,612.63,6126.27
734,2.0,635.0,76.68,76.68,1270.0,153.36,558.32,1116.64
735,1.0,702.59,227.18,227.18,702.59,227.18,475.41,475.41
736,1.0,1265.0,521.59,521.59,1265.0,521.59,743.41,743.41
737,2.0,675.0,174.16,174.16,1350.0,348.32,500.84,1001.68
738,2.0,696.0,91.63,91.63,1392.0,183.26,604.37,1208.74
739,9.0,488.62,0.0,61.88,4397.58,556.96,426.74,3840.62
740,6.0,710.0,0.0,171.66,4260.0,1029.98,538.34,3230.02
741,3.0,3349.0,0.0,1273.61,10047.0,3820.84,2075.39,6226.16
742,2.0,2665.0,0.0,1304.15,5330.0,2608.29,1360.85,2721.71
743,1.0,435.72,97.49,97.49,435.72,97.49,338.23,338.23
744,1.0,648.3,97.53,97.53,648.3,97.53,550.77,550.77
745,1.0,419.0,10.7,10.7,419.0,10.7,408.3,408.3
746,3.5,369.5,18.14,18.14,3911.1,1813.59,351.36,3089.3
747,5.0,4500.88,0.0,514.77,22504.4,2573.85,3986.11,19930.55
748,4.0,625.7,0.0,114.05,2502.8,456.18,511.65,2046.62
749,5.0,625.7,100.68,100.68,3128.5,503.4,525.02,2625.1
750,6.0,625.7,0.0,98.64,3754.2,591.85,527.06,3162.35
751,2.0,1518.0,0.0,546.03,3036.0,1092.06,971.97,1943.94
752,1.0,2776.65,0.0,1220.15,2776.65,1220.15,1556.5,1556.5
753,1.0,2008.0,473.55,473.55,2008.0,473.55,1534.45,1534.45
754,6.0,587.0,0.0,152.07,3522.0,912.43,434.93,2609.57
755,4.0,780.5,0.0,230.29,3122.0,921.15,550.21,2200.85
756,1.0,1165.95,0.0,345.97,1165.95,345.97,819.98,819.98
757,1.0,1112.0,0.0,322.13,1112.0,322.13,789.87,789.87
758,4.0,1254.2,0.0,192.93,5016.8,771.72,1061.27,4245.08
759,1.0,310.0,54.8,54.8,310.0,54.8,255.2,255.2
760,3.0,485.0,141.3,141.3,1455.0,423.89,343.7,1031.11
761,3.0,921.37,0.0,185.81,2764.11,557.42,735.56,2206.69
762,1.0,518.97,123.23,123.23,518.97,123.23,395.73,395.73
763,7.0,3053.25,773.12,773.12,21372.75,5411.87,2280.13,15960.89
764,1.0,1054.0,665.36,665.36,1054.0,665.36,388.64,388.64
765,2.0,523.85,276.18,276.18,1047.7,552.36,247.67,495.34
766,2.0,2186.0,925.21,925.21,4372.0,1850.42,1260.79,2521.58
767,1.0,727.58,136.58,136.58,727.58,136.58,591.0,591.0
768,1.0,343.0,0.0,82.32,343.0,82.32,260.68,260.68
769,3.0,976.0,405.35,405.35,2928.0,1216.06,570.65,1711.94
770,1.0,732.0,260.2,260.2,732.0,260.2,471.8,471.8
771,1.0,1165.95,345.97,345.97,1165.95,345.97,819.98,819.98
772,2.0,404.65,0.0,27.79,809.3,55.57,376.86,753.73
773,2.0,648.5,65.25,65.25,1297.0,130.51,583.25,1166.49
774,2.0,648.5,64.34,64.34,1297.0,128.69,584.16,1168.31
775,2.0,693.35,64.34,64.34,1386.7,128.69,629.01,1258.01
776,1.0,576.03,210.24,210.24,576.03,210.24,365.79,365.79
777,1.0,657.12,265.64,265.64,657.12,265.64,391.48,391.48
778,1.0,499.7,205.2,205.2,499.7,205.2,294.5,294.5
779,1.0,659.6,0.0,76.36,659.6,76.36,583.24,583.24
780,10.0,123.0,15.03,15.03,1230.0,150.32,107.97,1079.68
781,20.0,355.0,133.05,133.05,7100.0,2660.93,221.95,4439.07
782,15.0,355.0,133.05,133.05,5325.0,1995.7,221.95,3329.3
783,1.0,2068.5,1357.1,1357.1,2068.5,1357.1,711.4,711.4
784,2.0,2464.2,1130.54,1130.54,4928.4,2261.08,1333.66,2667.32
785,6.0,980.0,295.59,295.59,5880.0,1773.52,684.41,4106.48
786,1.0,1074.04,0.0,185.06,1074.04,185.06,888.98,888.98
787,4.0,788.88,42.63,42.63,3155.52,170.5,746.26,2985.02
788,1.0,727.31,0.0,297.42,727.31,297.42,429.89,429.89
789,1.0,624.27,54.8,54.8,624.27,54.8,569.47,569.47
790,1.0,572.0,206.11,206.11,572.0,206.11,365.89,365.89
791,6.0,812.0,0.0,363.09,4872.0,2178.55,448.91,2693.45
792,1.0,1548.0,0.0,671.28,1548.0,671.28,876.72,876.72
793,2.0,660.0,0.0,66.99,1320.0,133.98,593.01,1186.02
794,2.0,1186.17,172.53,172.53,2372.34,345.06,1013.64,2027.28
795,3.0,675.0,0.0,202.71,2025.0,608.14,472.29,1416.86
796,5.0,938.53,161.73,161.73,4692.65,808.65,776.8,3884.0
797,8.0,1666.18,0.0,675.99,13329.44,5407.95,990.19,7921.49
798,1.0,1165.95,345.97,345.97,1165.95,345.97,819.98,819.98
799,3.5,607.1,0.0,131.45,3911.1,7098.51,475.65,25685.11
800,3.5,611.51,0.0,137.76,16510.82,3719.48,473.75,12791.35
801,3.0,753.42,0.0,203.69,2260.25,611.06,549.73,1649.18
802,3.0,535.48,0.0,126.45,1606.44,379.36,409.03,1227.08
803,3.0,572.5,144.4,144.4,1717.5,433.2,428.1,1284.3
804,1.0,794.0,0.0,323.11,794.0,323.11,470.89,470.89
805,1.0,941.0,165.65,165.65,941.0,165.65,775.35,775.35
806,4.0,636.3,110.15,110.15,2545.2,440.58,526.15,2104.62
807,1.0,400.0,171.87,171.87,400.0,171.87,228.13,228.13
808,2.0,7133.17,0.0,2549.57,14266.34,5099.14,4583.6,9167.2
809,3.0,798.0,156.34,156.34,2394.0,469.01,641.66,1924.99
810,1.0,139.0,42.79,42.79,139.0,42.79,96.21,96.21
811,3.0,786.7,150.16,150.16,2360.1,450.49,636.54,1909.61
812,4.0,2105.0,0.0,255.13,8420.0,1020.51,1849.87,7399.49
813,5.0,652.0,0.0,216.25,3260.0,1081.24,435.75,2178.77
814,4.0,968.5,0.0,195.43,3874.0,781.73,773.07,3092.27
815,2.0,2218.27,1389.6,1389.6,4436.54,2779.2,828.67,1657.34
816,10.0,810.0,257.6,257.6,8100.0,2575.95,552.4,5524.05
817,11.0,1552.5,0.0,384.87,17077.5,4233.54,1167.63,12843.96
818,1.0,348.0,54.8,54.8,348.0,54.8,293.2,293.2
819,1.0,3120.0,1195.0,1195.0,3120.0,1195.0,1925.0,1925.0
820,1.0,315.0,97.49,97.49,315.0,97.49,217.51,217.51
821,2.0,435.72,171.87,171.87,871.44,343.73,263.85,527.71
822,1.0,1127.0,0.0,316.45,1127.0,316.45,810.55,810.55
823,1.0,4956.73,1306.63,1306.63,4956.73,1306.63,3650.1,3650.1
824,4.0,407.0,155.25,155.25,1628.0,620.99,251.75,1007.01
825,4.0,541.25,0.0,132.16,2165.0,528.65,409.09,1636.35
826,4.0,1365.0,0.0,203.04,5460.0,812.15,1161.96,4647.85
827,4.0,681.75,122.18,122.18,2727.0,488.72,559.57,2238.28
828,1.0,3200.0,0.0,649.31,3200.0,649.31,2550.69,2550.69
829,2.0,3200.0,0.0,590.21,6400.0,1180.41,2609.79,5219.59
830,1.0,3200.0,0.0,595.74,3200.0,595.74,2604.26,2604.26
831,1.0,3521.6,585.92,585.92,3521.6,585.92,2935.68,2935.68
832,3.5,1299.32,429.81,429.81,3911.1,12894.24,869.51,26085.36
833,3.0,4250.0,788.54,788.54,12750.0,2365.62,3461.46,10384.38
834,1.0,846.2,244.91,244.91,846.2,244.91,601.29,601.29
835,2.0,1050.69,0.0,270.68,2101.38,541.35,780.01,1560.03
836,2.0,2132.55,0.0,230.7,4265.1,461.4,1901.85,3803.7
837,4.0,3650.0,790.28,790.28,14600.0,3161.13,2859.72,11438.87
838,4.0,3250.0,753.71,753.71,13000.0,3014.83,2496.29,9985.17
839,5.0,2550.0,703.11,703.11,12750.0,3515.54,1846.89,9234.46
840,2.0,155.0,0.0,67.57,310.0,135.14,87.43,174.86
841,21.0,916.36,0.0,264.47,19243.56,5553.86,651.89,13689.7
842,1.0,1188.0,191.8,5169.85,25258.15,5169.85,974.4,20088.3
843,4.0,961.45,0.0,324.71,3845.8,1298.83,636.74,2546.97
844,1.0,485.2,89.76,89.76,485.2,89.76,395.44,395.44
845,1.0,570.3,72.34,72.34,570.3,72.34,497.96,497.96
846,1.0,485.2,0.0,89.76,485.2,89.76,395.44,395.44
847,1.0,570.3,0.0,72.34,570.3,72.34,497.96,497.96
848,6.0,686.0,0.0,236.2,4116.0,1417.21,449.8,2698.79
849,2.0,462.0,220.0,220.0,924.0,440.0,242.0,484.0
850,2.0,4188.63,0.0,1931.62,8377.26,3863.23,2257.01,4514.03
851,1.0,1188.0,0.0,277.5,14000.0,277.5,13722.5,13722.5
852,12.0,825.0,333.0,333.0,9900.0,3995.98,492.0,5904.02
853,10.0,810.0,257.6,257.6,8100.0,2575.95,552.4,5524.05
854,1.0,3521.6,1225.86,1225.86,3521.6,1225.86,2295.74,2295.74
855,10.0,207.0,92.33,92.33,2070.0,923.31,114.67,1146.69
856,4.0,1205.0,0.0,282.91,4820.0,1131.63,922.09,3688.37
857,5.0,585.5,0.0,223.92,2927.5,1119.59,361.58,1807.92
858,5.0,648.0,0.0,249.92,3240.0,1249.59,398.08,1990.42
859,1.0,1697.71,567.27,567.27,1697.71,567.27,1130.44,1130.44
860,5.0,821.3,0.0,75.77,4106.5,378.86,745.53,3727.64
861,1.0,4125.0,0.0,193.86,4125.0,193.86,3931.14,3931.14
862,1.0,1369.18,0.0,197.36,1369.18,197.36,1171.82,1171.82
863,2.0,886.0,55.23,55.23,1772.0,110.46,830.77,1661.54
864,2.0,695.0,36.8,36.8,1390.0,73.59,658.2,1316.41
865,2.0,665.0,80.09,80.09,1330.0,160.18,584.91,1169.82
866,1.0,1188.0,0.0,1721.28,18869.0,1721.28,974.4,17147.72
867,1.0,600.0,179.31,179.31,600.0,179.31,420.69,420.69
868,10.0,1250.0,0.0,514.93,12500.0,5149.29,735.07,7350.71
869,6.0,912.0,0.0,301.16,5472.0,1806.93,610.84,3665.07
870,6.0,1154.0,0.0,750.38,6924.0,4502.25,403.62,2421.75
871,6.0,696.0,0.0,43.88,4176.0,263.28,652.12,3912.72
872,6.0,888.0,0.0,215.26,5328.0,1291.57,672.74,4036.43
873,10.0,509.0,0.0,128.74,5090.0,1287.37,380.26,3802.63
874,6.0,407.0,122.67,122.67,2442.0,736.0,284.33,1706.0
875,16.0,1939.0,0.0,490.5,31024.0,7848.04,1448.5,23175.96
876,3.0,1064.0,0.0,330.66,3192.0,991.99,733.34,2200.01
877,5.0,485.0,144.4,144.4,2425.0,722.0,340.6,1703.0
878,5.0,310.0,54.8,54.8,1550.0,274.0,255.2,1276.0
879,7.0,1252.0,0.0,244.61,8764.0,1712.29,1007.39,7051.71
880,3.0,720.0,82.15,82.15,2160.0,246.45,637.85,1913.55
881,1.0,1215.5,335.77,335.77,1215.5,335.77,879.73,879.73
882,10.0,185.0,74.45,74.45,1850.0,744.5,110.55,1105.5
883,5.0,125.0,42.79,42.79,625.0,213.97,82.21,411.03
884,2.0,163.0,72.37,72.37,326.0,144.73,90.63,181.27
885,3.0,238.0,97.49,97.49,714.0,292.48,140.51,421.52
886,3.0,496.0,144.2,144.2,1488.0,432.6,351.8,1055.4
887,4.0,976.0,396.78,396.78,3904.0,1587.1,579.22,2316.9
