,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4362,868418,20240905174946,4574185,2.0,3.0,52.411903381347656,4.908010005950928,2.0,1.0,1.0,0.0,119.0,2.0,1125,2.1,1125.0,65.0,14.0,70,169,10.0,5.0,4.9,5.0,5.0,5.0,4.8,4.8,2.0,0.0,2.0,0.0
4363,934060,20240905174946,5037506,1.0,2.0,52.4016,4.89785,2.9,2.0,1.5,1.4,668.0,2.0,1125,2.0,1125.0,65.0,0.0,22,136,159.0,4.75,4.75,4.82,4.74,4.84,4.36,4.61,1.0,0.0,1.0,0.0
4364,633832803967641553,20240905174946,36151239,1.0,2.0,52.34284,4.90037,4.0,1.0,4.0,1.0,289.6,2.0,8,2.0,8.0,65.0,0.0,0,0,6.0,4.5,4.33,4.17,4.67,4.67,4.83,4.17,1.0,1.0,0.0,0.0
4365,1138497323308629784,20240905174946,43614335,3.0,3.0,52.38335546985459,4.884541676274861,2.0,1.0,1.0,2.0,243.0,2.0,365,2.0,1125.0,65.0,15.0,62,308,13.0,5.0,5.0,5.0,4.92,5.0,4.92,4.85,3.0,0.0,3.0,0.0
4366,852625417700973121,20240905174946,184538529,1.0,1.0,52.355598,4.88959,2.0,1.0,1.0,1.0,230.0,1.0,1125,1.0,1125.0,65.0,25.0,82,357,1.0,5.0,4.9,4.0,5.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0
4367,11178448,20240905174946,55288093,3.0,3.0,52.357433,4.857956,2.0,1.5,1.0,2.0,169.0,2.0,90,2.0,1125.0,65.0,6.0,50,66,104.0,4.97,4.95,5.0,4.96,5.0,4.9,4.79,3.0,0.0,3.0,0.0
4368,53390946,20240905174946,428344496,8.0,10.0,52.36373,4.87849,2.0,1.0,0.0,1.0,203.0,1.0,1125,1.0,1125.0,65.0,24.0,82,348,53.0,4.53,4.6,4.71,4.74,4.7,4.68,4.32,8.0,0.0,0.3,0.0
4369,1206926191969329816,20240905174946,251391963,1.0,1.0,52.36794998514103,4.874261945347151,4.0,1.0,2.0,2.0,367.0,2.0,4,2.0,4.0,65.0,1.0,9,21,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4370,49940100,20240905174946,401163260,7.0,7.0,52.35647,4.93132,2.0,1.0,1.0,1.0,113.0,1.0,360,1.0,1000.0,65.0,10.0,49,323,5.0,4.4,4.2,4.2,4.8,4.6,4.2,4.2,7.0,0.0,0.3,0.0
4371,1165748514029318973,20240905174946,3041589,2.0,2.0,52.362195013416304,4.988138892740908,3.0,1.1,2.0,2.0,339.0,3.0,365,3.3,365.0,65.0,0.0,30,98,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,2.0,2.0,0.0,0.0
4372,515088,20240905174946,2536879,1.0,1.0,52.39675,4.99603,4.0,1.5,1.0,2.0,180.0,2.0,10,2.0,10.0,65.0,4.3,90,365,1.0,5.0,5.0,5.0,5.0,5.0,4.8,4.0,1.0,1.0,0.0,0.0
4373,40427718,20240905174946,312657345,2.0,3.0,52.37894,4.89298,2.0,1.0,1.0,1.0,235.0,1.0,35,2.0,35.0,65.0,8.0,46,46,172.0,4.8,4.75,4.7,4.81,4.86,4.93,4.49,2.0,0.0,2.0,0.0
4374,30265387,20240905174946,20051404,1.0,1.0,52.36433,4.9373,3.0,1.5,2.0,1.0,299.0,1.0,1125,4.3,904.3,65.0,13.0,58,85,9.0,4.78,4.78,4.33,4.89,5.0,4.67,4.56,1.0,1.0,0.0,0.0
4375,1062850018604980946,20240905174946,554801091,1.0,1.0,52.36218,4.93381,2.0,1.0,1.0,1.0,157.0,2.0,16,2.3,16.0,65.0,12.0,12,63,4.0,4.75,4.75,4.5,4.9,4.5,5.0,4.5,1.0,1.0,0.0,0.0
4376,733803741061691698,20240905174946,10620995,1.0,1.0,52.36335455114634,4.931658326983657,2.0,1.0,1.0,1.0,200.0,5.0,365,5.0,365.0,65.0,0.0,0,0,6.0,5.0,5.0,4.83,5.0,5.0,4.83,4.83,1.0,1.0,0.0,0.0
4377,902119738138827525,20240905174946,28625389,1.0,1.0,52.36788980028364,4.865622325877333,2.0,1.0,1.0,1.0,220.0,2.0,365,2.0,365.0,65.0,8.0,8,176,6.0,4.83,5.0,4.83,5.0,5.0,4.83,4.67,1.0,1.0,0.0,0.0
4378,11697661,20240905174946,10755325,1.0,1.0,52.36632,4.86749,2.0,1.0,1.0,1.0,246.0,2.0,1125,2.0,1125.0,65.0,4.0,4,4,36.0,5.0,4.97,4.86,4.97,5.0,4.92,4.92,1.0,1.0,0.0,0.0
4379,544746740152636130,20240905174946,1485821,1.0,2.0,52.37828097064281,4.886950694551683,2.0,1.5,1.0,1.0,800.0,3.0,365,3.0,365.0,65.0,0.0,0,265,6.0,5.0,4.83,5.0,5.0,5.0,5.0,4.5,1.0,1.0,0.0,0.0
4380,772336883654946918,20240905174946,93521498,1.0,1.0,52.3734016,4.8703731,2.0,1.0,1.0,1.0,194.0,2.0,14,1.4,14.0,65.0,0.0,0,63,8.0,4.75,4.88,4.88,5.0,5.0,4.88,4.63,1.0,1.0,0.0,0.0
4381,589607149380794757,20240905174946,63380461,1.0,3.0,52.36367,4.90345,3.0,1.0,1.0,0.0,500.0,3.0,365,3.0,365.0,65.0,0.0,4,4,10.0,5.0,5.0,4.9,5.0,5.0,5.0,4.9,1.0,1.0,0.0,0.0
4382,49473717,20240905174946,398261845,8.0,11.0,52.37847,4.89264,2.0,1.0,1.0,2.0,209.0,1.0,360,1.3,1000.0,65.0,12.0,67,342,46.0,4.65,4.7,4.7,4.78,4.85,4.83,4.33,8.0,0.0,0.3,0.0
4383,965742185435824336,20240905174946,531806158,5.0,5.0,52.35563447409771,4.92968247553409,2.0,1.0,1.0,1.0,190.0,1.0,365,3.1,999.0,65.0,25.0,85,350,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,5.0,5.0,0.0,0.0
4384,367107,20240905174946,1853421,1.0,1.0,52.36263,4.90216,2.0,1.5,1.0,1.0,332.0,5.0,30,5.0,30.0,65.0,27.0,76,351,20.0,5.0,4.95,4.85,4.95,5.0,5.0,4.75,1.0,1.0,0.0,0.0
4385,694903860318245835,20240905174946,475324253,1.0,1.0,52.35295,4.89805,2.0,1.0,1.0,1.0,95.0,1.0,92,1.3,92.0,65.0,9.0,55,330,23.0,5.0,4.96,4.87,5.0,5.0,4.96,4.87,1.0,0.0,1.0,0.0
4386,22759063,20240905174946,21329269,1.0,1.0,52.36615,4.87252,2.0,1.5,1.0,1.0,290.0,2.0,20,2.0,20.0,65.0,8.0,9,14,6.0,5.0,5.0,5.0,4.83,5.0,4.83,4.67,1.0,1.0,0.0,0.0
4387,964261482160609580,20240905174946,533425482,1.0,1.0,52.37025048480608,4.860977949785896,4.0,1.0,2.0,2.0,240.0,2.0,9,2.0,9.0,65.0,0.0,0,99,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.6,1.0,1.0,0.0,0.0
4388,15658599,20240905174946,6029168,1.0,1.0,52.37333,4.86027,2.0,1.0,2.0,2.0,254.0,3.0,14,3.0,14.0,65.0,6.0,6,6,40.0,4.93,4.98,4.78,4.95,4.9,4.85,4.75,1.0,1.0,0.0,0.0
4389,930346898151724382,20240905174946,456972506,3.0,3.0,52.36398962665584,4.880401489884468,2.0,1.0,1.0,1.0,421.0,1.0,1125,1.0,1125.0,65.0,13.0,62,62,9.0,5.0,4.78,5.0,4.89,5.0,5.0,4.78,2.0,2.0,0.0,0.0
4390,1073770791014172115,20240905174946,551264,1.0,1.0,52.34522289707361,4.9,5.0,1.0,3.0,0.0,385.0,6.0,30,6.0,30.0,65.0,0.0,23,204,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4391,45463326,20240905174946,367808546,6.0,6.0,52.35998,4.89264,2.0,1.0,1.0,2.0,148.0,1.0,1124,1.5,1125.0,65.0,11.0,47,100,288.0,4.53,4.68,4.57,4.85,4.81,4.82,4.42,6.0,0.0,0.3,0.0
